"","age","gender","raceethnicity","city","state","armed","pop","share_black","share_hispanic","college","cluster"
"92",56,2,5,176,4,3,8205,"2.8","17.8",0.423807081,2
"93",37,2,3,161,44,2,3531,"11","18.4",0.142030276,1
"94",58,2,5,56,10,2,11794,"15.8","15.9",0.201200343,2
"95",39,2,5,216,29,2,2314,"6.4","36",0.10933759,1
"96",37,2,3,277,4,4,3887,"0.1","49.8",0.16084788,1
"97",35,2,2,324,31,3,4904,"54.6","7",0.392834891,1
"98",26,2,2,18,21,2,1625,"75.7","0",0.014117647,1
"99",47,2,2,214,36,2,1812,"4.9","36",0.081980519,1
"100",31,2,2,128,21,2,1970,"52.6","3.1",0.091324201,1
"101",60,2,5,162,39,4,5787,"32.1","1.5",0.162518302,2
"102",32,2,2,254,15,4,2023,"44","10.4",0.207425343,1
"103",45,2,5,247,14,5,3481,"0.1","6.4",0.26719057,1
"104",42,2,3,160,10,2,5059,"13.7","10.5",0.258240183,1
"105",17,2,5,119,6,2,2291,"1.3","20.3",0.261888814,1
"106",22,2,3,87,41,2,3864,"9.8","70.7",0.132780083,1
"107",33,2,3,335,5,2,4934,"6.1","88.5",0.026600166,1
"108",18,2,5,333,28,4,5100,"8.5","1.4",0.526623377,1
"109",39,2,5,256,23,2,4596,"3.2","1.5",0.212507778,1
"110",59,2,5,131,38,2,4487,"2.9","5.9",0.267043669,1
"111",33,2,5,200,36,2,4745,"25","1.9",0.202991453,1
"112",58,2,5,175,35,2,2991,"3.9","1.1",0.141363636,1
"113",58,2,5,63,34,4,4968,"0","2",0.147076372,1
"114",47,2,5,313,19,2,3403,"47.8","0.9",0.123522459,1
"115",41,2,5,34,7,6,4066,"2.1","8.8",0.382333768,1
"116",64,2,5,170,5,2,4225,"1.8","64.6",0.285611251,1
"117",45,2,5,110,5,2,4791,"0","33.9",0.165626027,1
"118",53,1,5,111,17,2,4643,"1.8","3.4",0.283661878,1
"119",24,2,5,81,28,3,6056,"22","19.1",0.12675,2
"120",48,2,2,133,19,2,4232,"86.4","2.6",0.14025974,1
"121",29,2,2,166,10,4,6074,"94.4","5",0.182923381,2
"122",40,2,3,206,34,2,5169,"19.5","71.9",0.102324177,1
"123",34,2,5,274,5,7,5029,"6.7","29",0.385287202,1
"124",21,2,2,22,34,2,8222,"22.8","39.6",0.240339473,2
"125",45,2,2,71,41,2,4044,"84.8","14",0.029108327,1
"126",25,2,2,133,19,2,3085,"46.1","28.8",0.108970831,1
"127",17,2,5,262,23,5,3751,"0.1","3.1",0.168076923,1
"128",24,2,2,279,5,6,6461,"3","49.1",0.348542762,2
"129",42,2,2,281,4,3,4542,"0.3","10.5",0.505309505,1
"130",29,2,2,9,5,2,5072,"5","54.3",0.048747913,1
"131",42,2,2,325,11,3,2156,"42.7","0.6",0.197846568,1
"132",30,2,2,69,43,2,6106,"22.1","14.9",0.176186645,2
"133",29,2,2,193,16,2,2733,"0","19.9",0.10559723,1
"134",39,2,2,1,34,2,5335,"81.6","13.5",0.138646288,1
"135",63,2,5,184,15,5,3721,"9","1.1",0.105422829,1
"136",49,2,5,171,26,2,6604,"4.7","0.1",0.095789972,2
"137",41,2,2,293,39,2,3700,"24.1","1.5",0.171848739,1
"138",27,2,2,143,16,6,7499,"53","20.9",0.142857143,2
"139",30,2,5,318,20,4,5994,"2.1","3.4",0.41799308,2
"140",60,2,5,272,41,3,8023,"17.5","53.5",0.117877423,2
"141",77,2,2,26,2,4,3708,"77.8","1.5",0.088550247,1
"142",37,2,3,218,5,2,5950,"5.8","66",0.163655685,2
"143",54,2,2,245,21,2,3070,"86.4","0",0.345549738,1
"144",29,2,3,135,5,2,2886,"8.1","38.4",0.08590604,1
"145",30,2,2,112,41,4,4775,"16.3","14.6",0.315638907,1
"146",24,2,3,127,31,3,6844,"18.6","23.5",0.34819491,2
"147",21,2,5,66,4,2,5206,"0.9","30.3",0.139520776,1
"148",44,2,2,323,36,2,3300,"23.8","10.1",0.408774373,1
"149",40,2,5,82,4,2,5269,"0","23.6",0.097701149,1
"150",32,2,5,284,36,3,4681,"0.3","3.8",0.170479474,1
"151",22,2,3,87,41,3,5921,"2.1","83.7",0.243867655,2
"152",43,2,5,230,4,2,3082,"5.9","71.2",0.13821938,1
"153",52,2,3,233,5,3,7528,"3.5","77",0.084254483,2
"154",27,2,3,278,5,4,9699,"0.2","96.3",0.030701754,2
"155",34,2,5,85,32,7,4356,"0","27.1",0.27692788,1
"156",20,2,5,217,41,4,6613,"4.4","7.5",0.103164283,2
"157",25,2,2,270,21,2,6493,"75.1","11.3",0.093983992,2
"158",24,2,2,206,34,3,4074,"0.5","6.5",0.448705012,1
"159",46,2,5,70,2,2,4720,"30.9","0.1",0.15942482,1
"160",42,2,5,10,5,2,4284,"1.3","23.3",0.141213064,1
"161",43,2,5,165,33,2,4726,"27.1","22.1",0.217720392,1
"162",41,2,2,139,41,4,4412,"19","57.8",0.168716372,1
"163",59,2,5,151,25,4,4411,"57.3","1.1",0.161811162,1
"164",25,2,2,18,21,2,3544,"99.4","0",0.036792453,1
"165",42,2,5,274,5,2,2674,"9.1","24",0.362808843,1
"166",64,2,5,312,10,2,1911,"28.5","3.8",0.358885017,1
"167",24,2,5,86,36,3,5383,"0.7","2.9",0.596791444,1
"168",63,2,5,185,36,4,2650,"0.8","2.6",0.117714286,1
"169",56,2,5,92,5,4,4040,"0.6","10.5",0.540820096,1
"170",60,2,5,132,16,4,6460,"0.3","0.2",0.131186929,2
"171",54,2,5,21,2,2,6971,"15","0.4",0.251100352,2
"172",37,2,2,214,36,4,5823,"7.4","20.3",0.294754572,2
"173",22,2,5,203,10,2,12351,"10.8","9.1",0.237702807,2
"174",39,2,5,68,16,2,7338,"24.2","10.7",0.307383628,2
"175",45,2,5,224,10,3,4239,"4.6","6",0.158741259,1
"176",57,2,5,84,11,4,3422,"8.6","1.9",0.085993241,1
"177",42,2,5,104,46,2,3255,"0.2","0",0.160032167,1
"178",19,2,3,168,5,4,4424,"9.5","68.2",0.039807524,1
"179",26,2,2,214,36,3,3754,"3","52.5",0.068254695,1
"180",34,2,5,144,26,4,6466,"0.8","0.3",0.125579342,2
"181",69,2,5,300,18,4,2143,"3.4","1.1",0.103820598,1
"182",64,1,1,127,31,4,3358,"18.9","32.7",0.168669131,1
"183",35,2,1,139,41,4,7538,"35.9","35.9",0.22823219,2
"184",40,2,2,315,28,4,2929,"62.2","2.8",0.149602386,1
"185",19,2,2,297,25,2,1325,"99.8","0",0.029233871,1
"186",27,2,3,6,15,4,2665,"9.8","1",0.092969204,1
"187",37,2,3,219,10,2,2537,"10.6","72.4",0.171372292,1
"188",17,2,5,20,23,3,1404,"6.6","19.9",0.101298701,1
"189",39,2,2,106,10,2,732,"34.3","7.1",0.095599393,1
"190",74,2,2,114,28,2,4049,"43.7","22.3",0.045287638,1
"191",42,2,5,271,42,2,3745,"0.1","5",0.638549618,1
"192",47,2,5,222,41,4,4447,"27.1","29.9",0.162665563,1
"193",43,2,5,47,39,3,8668,"11","0.7",0.495871946,2
"194",46,2,5,67,6,4,2892,"0","4.2",0.207537688,1
"195",44,2,5,53,34,2,4696,"0.7","1.6",0.16256457,1
"196",31,2,5,181,40,6,3636,"57.6","0.3",0.324362111,1
"197",47,2,5,123,25,2,4911,"0.2","0.8",0.138937031,1
"198",41,2,3,201,5,2,3524,"2.5","17.7",0.482361963,1
"199",43,2,5,323,36,7,2712,"21.4","4.7",0.319685039,1
"200",32,2,2,211,6,2,6851,"1.6","28.7",0.106167401,2
"201",31,2,2,19,19,7,1862,"93.1","1.3",0.120772947,1
"202",20,2,5,305,44,2,8196,"0.3","17.1",0.15408805,2
"203",20,1,2,48,28,2,2986,"88","5.8",0.079066753,1
"204",33,2,5,213,10,4,7471,"19.6","7.1",0.200268817,2
"205",22,2,2,205,19,6,678,"68.6","20.6",0.087719298,1
"206",41,2,5,264,32,4,6941,"0","40.4",0.199338135,2
"207",41,2,2,248,31,4,8810,"19.7","29.2",0.487170943,2
"208",32,2,5,269,28,3,5938,"27.2","8.4",0.111002445,2
"209",16,2,5,94,21,2,5437,"53","3.2",0.136934307,1
"210",29,2,2,192,5,3,4296,"1.2","19.3",0.276122083,1
"211",47,2,5,17,5,2,1354,"17.7","48.7",0.066834805,1
"212",53,2,2,91,43,6,4523,"59.4","0",0.061827957,1
"213",18,2,2,51,15,4,1781,"95","0.7",0.28164794,1
"214",47,2,5,340,18,2,6740,"0.2","0",0.142857143,2
"215",34,2,5,80,42,4,4748,"2.2","8.7",0.328571429,1
"216",36,2,5,64,11,2,6084,"34","4.4",0.225638353,2
"217",63,2,5,332,12,2,7883,"0.4","6.1",0.313166605,2
"218",36,2,5,314,10,4,6993,"8.1","24.7",0.424920803,2
"219",27,2,2,147,39,2,6384,"34","2",0.109768379,2
"220",28,2,2,312,10,7,4498,"35.1","2.9",0.38185567,1
"221",33,2,2,62,35,4,4419,"21","3.6",0.06088993,1
"222",32,2,2,47,39,4,2875,"9.4","2.7",0.779063361,1
"223",42,2,5,3,38,3,3436,"8.8","25.7",0.19303675,1
"224",31,2,5,115,38,2,4923,"1.2","9.2",0.224592221,1
"225",17,1,3,75,6,2,4293,"43.2","13.7",0.441001565,1
"226",24,2,5,31,19,2,4302,"31.2","7.9",0.166790767,1
"227",51,2,2,331,41,4,5506,"12.6","44.2",0.058467131,1
"228",28,2,3,230,4,6,4579,"11.5","44.4",0.244320298,1
"229",53,2,5,202,40,2,3307,"0.5","0.9",0.755110384,1
"230",54,2,5,33,33,4,3042,"0","6.7",0.120423467,1
"231",45,2,5,252,26,2,5683,"74.2","2.2",0.174675128,2
"232",48,2,5,25,27,2,3238,"1.6","6.5",0.368347987,1
"233",34,2,5,2,32,2,3404,"3.7","26.6",0.507961165,1
"234",23,2,3,339,17,3,4020,"34.2","15.7",0.206730769,1
"235",35,2,5,40,5,2,5651,"0","23.6",0.148913897,2
"236",33,2,3,8,1,3,2619,"11.7","10.2",0.355088496,1
"237",32,2,5,177,4,2,2732,"1.4","24.3",0.427527406,1
