"","age","gender","raceethnicity","city","state","armed","pop","share_black","share_hispanic","college","cluster"
"402",37,1,5,158,4,4,1548,"3.1","40.8",0.39089969,1
"403",47,2,5,310,44,3,2758,"11.3","15.6",0.131484335,1
"404",43,2,5,182,26,4,7590,"16.9","2.9",0.140836771,2
"405",37,2,5,102,45,2,6145,"2.6","18.7",0.142972319,2
"406",75,2,5,215,31,3,1753,"20.6","24.9",0.22251773,1
"407",21,2,2,199,36,2,1925,"43.4","1.5",0.106906339,1
"408",20,2,2,78,23,2,3501,"92.4","1.3",0.120189773,1
"409",29,2,2,175,35,2,2326,"40","4.7",0.066876475,1
"410",37,2,2,90,21,3,3737,"14.6","7.6",0.151760228,1
"411",41,2,2,323,36,2,3630,"5.5","5.6",0.166792169,1
"412",22,2,2,185,10,3,5246,"79.2","20.8",0.092167454,1
"413",23,2,2,146,25,3,7671,"92.5","0",0.166768728,2
"414",64,2,2,57,35,4,1548,"43.7","3.5",0.0675,1
"415",34,2,2,297,25,2,2150,"98.6","0.2",0.05115346,1
"416",49,2,5,309,42,2,11719,"2.2","7.5",0.341968068,2
"417",32,2,1,291,5,3,3416,"0","80.8",0.072751323,1
"418",25,2,2,286,41,6,3394,"0.6","79",0.110399211,1
"419",39,1,5,216,29,2,2646,"2.6","4",0.496179039,1
"420",27,2,5,266,32,2,6462,"0.9","19.5",0.306578153,2
"421",36,2,5,135,5,2,2886,"8.1","38.4",0.08590604,1
"422",20,2,2,322,6,2,2024,"0.6","55.3",0.170926518,1
"423",39,2,5,11,15,2,3565,"0.4","20.9",0.158820941,1
"424",19,2,2,174,45,2,6145,"1.3","5.5",0.744900197,2
"425",34,2,5,304,41,3,4177,"28.6","8.5",0.182055101,1
"426",36,2,5,267,26,2,4980,"25.9","0.3",0.127942064,1
"427",34,2,5,334,36,2,2032,"0","1.1",0.163706564,1
"428",31,2,5,249,14,4,10818,"0","8.4",0.19408867,2
"429",45,2,2,189,45,5,2657,"3.1","15",0.296017223,1
"430",37,2,5,253,34,2,6852,"1.8","10.4",0.100249066,2
"431",31,2,3,139,41,4,5065,"31.9","40.1",0.229678912,1
"432",28,2,3,170,5,2,3862,"37","60.3",0.122007366,1
"433",57,2,5,204,34,2,4164,"6.5","4.8",0.669916938,1
"434",29,2,2,238,43,6,4996,"10","0",0.225789048,1
"435",50,2,2,210,39,3,4110,"65.2","18.6",0.09294998,1
"436",53,2,5,138,2,4,4547,"1.4","7.7",0.627631579,1
"437",18,2,2,238,43,4,1640,"53.8","0",0.12055336,1
"438",28,2,4,319,44,2,4154,"0.4","20.2",0.174524982,1
"439",52,2,5,113,28,2,3850,"10.1","0.3",0.072764228,1
"440",38,1,2,212,5,2,2544,"24.9","37.1",0.396475771,1
